angulo,velocidad,torque
3.14,-0.299218803744463,-0.3
3.13700781196256,-0.598437607488926,-0.3
3.13102343588767,-0.89618875054957,-0.3
3.12206154838217,-1.19100464578591,-0.3
3.11015150192431,-1.48142524774137,-0.3
3.0953372494469,-1.76600590359769,-0.3
3.07767719041092,-2.04332571749713,-0.3
3.05724393323595,-2.31199652391147,-0.3
3.03412396799684,-2.57067251864432,-0.3
3.00841724281039,-2.81806053882618,-0.3
2.98023663742213,-3.05293091873255,-0.3
2.9497073282348,-3.27412877997053,-0.3
2.9169660404351,-3.48058554669081,-0.3
2.88216018496819,-3.67133041357245,-0.3
2.84544688083247,-3.84550144114262,-0.3
2.80699186642104,-4.00235591410706,-0.3
2.76696830727997,-4.14127957778918,-0.3
2.72555551150208,-4.26179436854367,-0.3
2.68293756781664,-4.36356427781523,-0.3
2.63930192503849,-4.44639903640413,-0.3
2.59483793467445,-4.51025537373716,-0.3
2.54973538093708,-4.55523569300774,-0.3
2.504183024007,-4.58158410186728,-0.3
2.45836718298833,-4.58967984367559,-0.3
2.41247038455157,-4.58002827927827,-0.3
2.36667010175879,-4.55324966699572,-0.3
2.32113760508883,-4.51006607272729,-0.3
2.27603694436156,-4.45128680772845,-0.3
2.23152407628427,-4.37779283524521,-0.3
2.18774614793182,-4.2905206071688,-0.3
2.14484094186013,-4.19044578845182,-0.3
2.10293648397562,-4.07856730215707,-0.3
2.06215081095405,-3.95589208502298,-0.3
2.02259189010382,-3.82342088660773,-0.3
1.98435768123774,-3.68213537917852,-0.3
1.94753632744595,-3.53298677533098,-0.3
1.91220645969264,-3.37688608027746,-0.3
1.87843759888987,-3.21469603959486,-0.3
1.84629063849392,-3.04722478389411,-0.3
1.81581839065498,-2.87522112136849,-0.3
1.78706617944129,-2.69937138860822,-0.3
1.76007246555521,-2.52029773974089,-0.3
1.7348694881578,-2.33855773351967,-0.3
1.71148391082261,-2.15464506658176,-0.3
1.68993746015679,-1.96899129755464,-0.3
1.67024754718124,-1.78196840963195,-0.3
1.65242786308492,-1.59389206725495,-0.3
1.63648894241237,-1.40502543424693,-0.3
1.6224386880699,-1.21558343489746,-0.3
1.61028285372093,-1.02573735498345,-0.3
1.6000254801711,-0.835619695620819,-0.3
1.59166928321489,-0.645329208424447,-0.3
1.58521599113064,-0.454936055141068,-0.3
1.58066663057923,-0.26448704828546,-0.3
1.57802176009638,-0.074010941056923,-0.3
1.57728165068581,0.116476255259892,-0.3
1.57844641323841,0.306965940221827,-0.3
1.58151607264063,0.497451587324335,-0.3
1.58649058851387,0.687923405192979,-0.3
1.5933698225658,0.878362998941948,-0.3
1.60215345255522,1.06873803399359,-0.3
1.61284083289515,1.25899690694765,-0.3
1.62543080196463,1.44906343245321,-0.3
1.63992143628916,1.63883156145742,-0.3
1.65630975190374,1.8281601546544,-0.3
1.67459135345028,2.01686784537361,-0.3
1.69476003190402,2.20472803842345,-0.3
1.71680731228825,2.39146410536396,-0.3
1.74072195334189,2.57674485205161,-0.3
1.76648940186241,2.76018035068604,-0.3
1.79409120536927,2.94131824545453,-0.3
1.82350438782381,3.11964065750168,-0.3
1.85470079439883,3.29456183044989,-0.3
1.88764641270333,3.46542667096045,-0.3
1.92230067941293,3.63151034856964,-0.3
1.95861578289863,3.79201912381191,-0.3
1.99653597413675,3.94609257190398,-0.3
2.03599689985579,4.09280735944528,-0.3
2.07692497345024,4.2311827122346,-0.3
2.11923680057259,4.36018768221223,-0.3
2.16283867739471,4.478750279956,-0.3
2.20762618019427,4.58576848596799,-0.3
2.25348386505395,4.68012308989123,-0.3
2.30028509595286,4.76069223348546,-0.3
2.34789201828772,4.82636745344572,-0.3
2.39615569282217,4.87607093784291,-0.3
2.4449164022006,4.90877362996281,-0.3
2.49400413850023,4.92351374121945,-0.3
2.54323927591243,4.91941517656862,-0.3
2.59243342767811,4.89570533723311,-0.3
2.64139048105044,4.85173175159917,-0.3
2.68990779856644,4.78697699950615,-0.3
2.7377775685615,4.70107143955766,-0.3
